"Genus","stage","extinct","mass_ext","log_range","log_bodysize"
"Selenopeltis",9,1,0,-1.025088558,1.530196888
"Shumardia",1,0,0,1.068830724,-2.922818682
"Shumardia",4,0,0,1.124883504,-2.922818682
"Shumardia",5,0,0,1.306082153,-2.922818682
"Shumardia",6,1,0,1.131323832,-2.922818682
"Sinocybele",4,0,0,-1.234632203,0.920356022
"Sinocybele",5,0,0,-0.945683692,0.920356022
"Sinocybele",6,1,0,0.949038689,0.920356022
"Solariproetus",6,0,0,-1.185468733,-0.735508135
"Solariproetus",7,0,0,1.064335645,-0.735508135
"Songkania",9,0,0,0.441578266,-0.712065914
"Songkania",10,1,0,0.122087499,-0.712065914
"Sphaerexochus",4,0,0,-1.234632203,-0.436495796
"Sphaerexochus",5,0,0,1.479792453,-0.436495796
"Sphaerexochus",6,0,0,1.095889072,-0.436495796
"Sphaerexochus",7,0,0,-0.667231623,-0.436495796
"Sphaerexochus",10,0,0,-0.467092727,-0.436495796
"Sphaerexochus",11,0,0,1.084312677,-0.436495796
"Sphaerexochus",12,0,0,0.233694865,-0.436495796
"Sphaerexochus",13,0,0,1.125004243,-0.436495796
"Sphaerexochus",14,1,0,1.264261544,-0.436495796
"Sphaerocoryphe",4,0,0,0.45970321,-2.584294383
"Sphaerocoryphe",5,0,0,0.831478006,-2.584294383
"Sphaerocoryphe",6,0,0,0.996423905,-2.584294383
"Sphaerocoryphe",7,0,0,-0.667231623,-2.584294383
"Sphaerocoryphe",10,0,0,-1.318162762,-2.584294383
"Sphaerocoryphe",12,1,0,-1.009377896,-2.584294383
"Stapeleyella",4,1,0,-0.153007843,-1.278443807
"Staurocephalus",6,0,0,1.159469487,-0.581449221
"Staurocephalus",7,0,0,-0.667231623,-0.581449221
"Staurocephalus",9,0,0,-1.025088558,-0.581449221
"Staurocephalus",11,0,0,0.217024477,-0.581449221
"Staurocephalus",12,0,0,1.384504209,-0.581449221
"Staurocephalus",13,0,0,-1.049978635,-0.581449221
"Staurocephalus",14,1,0,-1.056265867,-0.581449221
"Stegnopsis",4,1,0,-1.234632203,1.307638108
"Stenoblepharum",5,0,0,-0.945683692,-0.191753608
"Stenoblepharum",6,0,0,-0.010491882,-0.191753608
"Stenoblepharum",7,1,0,0.533680393,-0.191753608
"Stenopareia",4,0,0,-1.234632203,0.97957952
"Stenopareia",5,0,0,1.473446682,0.97957952
"Stenopareia",6,0,0,1.071559795,0.97957952
"Stenopareia",7,0,0,1.924832213,0.97957952
"Stenopareia",9,0,0,1.16731096,0.97957952
"Stenopareia",10,1,0,0.775631603,0.97957952
"Stenopilus",1,1,0,-0.442685555,-0.056360958
"Sthenarocalymene",4,0,0,1.064198548,0.642814091
"Sthenarocalymene",10,0,0,-1.318162762,0.642814091
"Sthenarocalymene",13,0,0,-1.049978635,0.642814091
"Sthenarocalymene",14,0,0,-0.332986353,0.642814091
"Sthenarocalymene",16,1,0,-1.459326062,0.642814091
"Stiktocybele",5,1,0,-0.945683692,0.083595689
"Strigigenalis",2,1,0,-0.73925552,-0.100477317
"Strotactinus",2,1,0,-0.73925552,-1.484376167
"Struszia",11,0,0,0.180377196,-0.04318684
"Struszia",12,0,0,0.103339346,-0.04318684
"Struszia",13,1,0,-1.049978635,-0.04318684
"Stubblefieldia",6,1,0,-1.185468733,0.749450761
"Stygina",4,0,0,-1.234632203,0.539572439
"Stygina",6,0,0,0.265413601,0.539572439
"Stygina",7,1,0,-0.667231623,0.539572439
"Symphysops",4,0,0,-1.234632203,0.833646886
"Symphysops",5,0,0,-0.945683692,0.833646886
"Symphysops",6,1,0,0.996663378,0.833646886
"Symphysurina",1,1,0,1.007958235,-0.173866609
"Symphysurus",1,0,0,1.070581216,0.802395495
"Symphysurus",2,0,0,-0.73925552,0.802395495
"Symphysurus",4,0,0,1.0566871,0.802395495
"Symphysurus",5,1,0,-0.945683692,0.802395495
"Synphoria",16,0,0,-1.459326062,1.455371587
"Synphoria",17,1,0,-1.725534014,1.455371587
"Synphoroides",16,0,0,-1.459326062,1.48299348
"Synphoroides",17,1,0,-1.725534014,1.48299348
"Taihungshania",1,0,0,0.973601786,-0.203281005
"Taihungshania",2,1,0,1.495457835,-0.203281005
"Taklamakania",4,0,0,-1.234632203,-1.072409861
"Taklamakania",5,0,0,-0.945683692,-1.072409861
"Taklamakania",6,1,0,0.858576945,-1.072409861
"Tasmanocephalus",2,0,0,-0.73925552,0.233562744
"Tasmanocephalus",4,1,0,-1.234632203,0.233562744
"Telephina",4,0,0,1.133771223,-0.459803127
"Telephina",5,0,0,1.479862906,-0.459803127
"Telephina",6,1,0,1.12991453,-0.459803127
"Terataspis",18,1,0,-0.9059852,3.449990809
"Teratorhynchus",5,1,0,0.134789802,0.560834659
"Terranovia",17,0,0,0.422813547,1.768249845
"Terranovia",18,1,0,0.162402799,1.768249845
"Tesselacauda",1,1,0,0.728600856,0.454418305
"Thaiaspis",27,1,0,-0.577350269,-1.108904146
"Thaleops",5,1,0,1.343438686,0.308542102
"Thebanaspis",10,0,0,-1.318162762,-1.535255885
"Thebanaspis",11,0,0,-1.282184733,-1.535255885
"Thebanaspis",12,1,0,-1.009377896,-1.535255885
"Theodenisia",1,1,0,-1.305024977,-1.379434261
"Thigriffides",24,1,0,-1.519708633,0.780262417
"Thomastus",10,1,0,-1.318162762,1.011868648
"Thomondia",6,1,0,-1.185468733,-2.011023778
"Thysanopeltella",19,1,0,1.245704486,0.294663661
"Thysanopyge",1,1,0,0.066912777,1.586171947
"Timoraspis",34,0,0,-1.099957607,1.008276423
"Timoraspis",36,1,0,-0.751164201,1.008276423
"Toernquistia",5,1,0,1.357741316,-1.85710121
"Toletanaspis",1,0,0,-1.305024977,0.625949742
"Toletanaspis",2,0,0,0.945435323,0.625949742
"Toletanaspis",4,1,0,-1.234632203,0.625949742
"Toxochasmops",6,0,0,-1.185468733,2.068703285
"Toxochasmops",7,1,0,1.482364918,2.068703285
"Tretaspis",5,0,0,0.427741994,-0.55279261
"Tretaspis",6,0,0,0.923108056,-0.55279261
"Tretaspis",7,1,0,1.330302659,-0.55279261
"Treveropyge",16,0,0,0.633756859,0.098966555
"Treveropyge",17,0,0,0.105293127,0.098966555
"Treveropyge",18,0,0,-0.092001339,0.098966555
"Treveropyge",19,1,0,-1.300501397,0.098966555
"Triarthropsis",1,1,0,-1.305024977,-1.192029307
"Triarthrus",1,0,0,0.931617298,-0.025954929
"Triarthrus",2,0,0,-0.73925552,-0.025954929
"Triarthrus",4,0,0,1.147549153,-0.025954929
"Triarthrus",5,0,0,-0.117557911,-0.025954929
"Triarthrus",6,1,0,0.824076635,-0.025954929
"Trigonocerca",1,1,0,-1.305024977,-0.416130708
"Trimerus",9,0,0,-1.025088558,2.046570499
"Trimerus",10,0,0,-1.318162762,2.046570499
"Trimerus",11,0,0,0.755072769,2.046570499
"Trimerus",15,0,0,-1.099213968,2.046570499
"Trimerus",16,0,0,0.773894382,2.046570499
"Trimerus",17,0,0,0.84593366,2.046570499
"Trimerus",18,0,0,-0.9059852,2.046570499
"Trimerus",19,0,0,-1.300501397,2.046570499
"Trimerus",20,0,0,1.017648683,2.046570499
"Trimerus",21,1,0,-0.716728955,2.046570499
"Trinucleoides",4,1,0,0.899508648,-0.015773116
"Trinucleus",4,0,0,0.90948292,-0.61423223
"Trinucleus",5,1,0,-0.945683692,-0.61423223
"Triproetus",30,0,0,1.258612729,-0.005761389
"Triproetus",31,0,0,0.889507067,-0.005761389
"Triproetus",32,0,0,-0.209762506,-0.005761389
"Triproetus",33,0,0,0.689536576,-0.005761389
"Triproetus",35,0,0,-0.644155442,-0.005761389
